1968	07	25	PY	BR	0	4	OCC		-16	1725	2020	−5	+1	28	2
1968	07	28	PY	BR	1	0	OCC		23	1748	1997	+6	−1	22	3
1968	08	07	BR	AR	4	1	F		10	2007	1917	0	0	3	8
1968	08	11	BR	AR	3	2	F		5	2012	1912	0	0	3	8
1968	10	31	BR	MX	1	2	F		-16	1996	1864	0	+2	3	12
1968	11	03	BR	MX	2	1	F		4	2000	1860	0	0	3	12
1968	12	14	BR	WG	2	2	F		-2	1998	2027	0	0	3	2
1968	12	17	BR	YU	3	3	F		-7	1991	1825	0	0	3	16
1968	12	19	BR	YU	3	2	F		4	1995	1821	0	0	3	16
1969	04	07	BR	PE	2	1	F		1	1996	1600	0	0	3	47
1969	04	09	BR	PE	3	2	F		1	1997	1599	0	0	3	47
1969	06	12	BR	EN	2	1	F		10	2007	2082	+1	0	3	1
1969	08	06	CO	BR	0	2	WQ		-4	1438	2011	−2	0	84	2
1969	08	10	VE	BR	0	5	WQ		-3	1362	2014	−1	0	102	2
1969	08	17	PY	BR	0	3	WQ		-20	1729	2034	−1	0	25	2
1969	08	21	BR	CO	6	2	WQ		1	2035	1427	0	0	2	85
1969	08	24	BR	VE	6	0	WQ		1	2036	1358	0	0	2	104
1969	08	31	BR	PY	1	0	WQ		4	2040	1732	0	0	2	25
1970	03	04	BR	AR	0	2	F		-26	2014	1841	0	+5	2	10
1970	03	08	BR	AR	2	1	F		3	2017	1838	0	0	2	10
1970	03	22	BR	CL	5	0	F		5	2022	1763	0	−1	2	23
1970	03	26	BR	CL	2	1	F		2	2024	1761	0	0	2	23
1970	04	12	BR	PY	0	0	F		-8	2016	1740	0	+3	2	25
1970	04	26	BR	BG	0	0	F		-7	2009	1824	0	0	2	15
1970	04	29	BR	AT	1	0	F		2	2011	1726	0	0	2	27
1970	06	03	BR	CS	4	1	WC	MX	45	2056	1918	0	−2	2	7
1970	06	07	BR	EN	1	0	WC	MX	32	2088	2048	+1	−1	1	2
1970	06	10	BR	RO	3	2	WC	MX	10	2098	1806	0	−1	1	15
1970	06	14	BR	PE	4	2	WC	MX	11	2109	1747	0	−2	1	24
1970	06	17	BR	UY	3	1	WC	MX	21	2130	1881	0	−1	1	8
1970	06	21	BR	IT	4	1	WC	MX	42	2172	2016	0	−1	1	4
1970	09	30	BR	MX	2	1	EGM		1	2173	1721	0	−1	1	30
1970	10	04	CL	BR	1	5	F		-5	1756	2178	0	0	22	1
1971	07	11	BR	AT	1	1	F		-9	2169	1743	0	+1	1	24
1971	07	14	BR	CS	1	0	F		2	2171	1868	0	0	1	10
1971	07	18	BR	YU	2	2	F		-8	2163	1891	0	0	1	7
1971	07	21	BR	HU	0	0	F		-8	2155	1889	0	0	1	8
1971	07	24	BR	PY	1	0	F		1	2156	1725	0	0	1	28
1971	07	28	AR	BR	1	1	ROC		8	1859	2148	0	0	12	1
1971	07	31	AR	BR	2	2	ROC		7	1866	2141	+1	0	11	1
1972	04	26	BR	PY	3	2	F		1	2142	1750	0	0	1	26
1972	06	28	BR	CS	0	0	BRI		-16	2126	1897	0	+2	2	6
1972	07	02	BR	YU	3	0	BRI		8	2134	1857	0	−1	2	12
1972	07	05	BR	SQ	1	0	BRI		3	2137	1787	0	−1	2	21
1972	07	09	BR	PT	1	0	BRI		5	2142	1910	0	0	2	6
1973	05	27	BR	BO	5	0	F		1	2143	1551	0	+1	1	58
1973	06	03	DZ	BR	0	2	F		-2	1537	2145	0	0	60	1
1973	06	06	TN	BR	1	4	F		-3	1609	2148	0	0	45	1
1973	06	09	IT	BR	2	0	F		19	1967	2129	+1	0	4	1
1973	06	13	AT	BR	1	1	F		5	1830	2124	+1	0	16	1
1973	06	16	WG	BR	0	1	F		-13	2105	2137	0	0	2	1
1973	06	21	SU	BR	0	1	F		-7	1920	2144	0	0	7	1
1973	06	25	SE	BR	1	0	F		15	1876	2129	+2	0	11	1
1973	06	30	SQ	BR	0	1	F		-4	1797	2133	0	0	21	1
1973	07	03	IE	BR	3	4	F		-1	1592	2134	0	0	51	1
1974	03	31	BR	MX	1	1	F		-9	2125	1735	0	0	1	28
1974	04	07	BR	CS	1	0	F		2	2127	1828	0	−1	1	16
1974	04	14	BR	BG	1	0	F		2	2129	1811	0	0	1	17
1974	04	17	BR	RO	2	0	F		2	2131	1793	0	0	1	20
1974	04	21	BR	HT	4	0	F		1	2132	1617	0	0	1	42
1974	04	28	BR	GR	0	0	F		-10	2122	1591	0	+1	1	50
1974	05	01	BR	AT	0	0	F		-8	2114	1813	0	+1	1	17
1974	05	05	BR	IE	2	1	F		1	2115	1608	0	0	1	44
1974	05	12	BR	PY	2	0	F		2	2117	1774	0	0	1	25
1974	06	13	BR	YU	0	0	WC	WG	-14	2103	1949	−1	+1	2	6
1974	06	18	BR	SQ	0	0	WC	WG	-18	2085	1883	0	+4	2	12
1974	06	22	BR	ZR	3	0	WC	WG	11	2096	1695	+1	−2	1	31
1974	06	26	BR	DD	1	0	WC	WG	21	2117	1971	0	−1	1	5
1974	06	30	BR	AR	2	1	WC	WG	10	2127	1835	0	0	1	17
1974	07	03	NL	BR	2	0	WC	WG	59	2077	2068	+2	−2	2	3
1974	07	06	PL	BR	1	0	WC	WG	32	2082	2036	+2	−1	2	4
1975	07	30	VE	BR	0	4	CA		-3	1366	2039	−2	0	103	4
